#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2019 07 14 05 34 00 2 5657.709
2019 07 14 05 33 00 2 5657.714
2019 07 14 05 32 00 2 5657.718
2019 07 14 05 31 00 2 5657.722
2019 07 14 05 30 00 2 5657.726
2019 07 14 05 30 00 1 9999.000
2019 07 14 05 29 00 2 5657.731
2019 07 14 05 28 00 2 5657.736
2019 07 14 05 27 00 2 5657.741
2019 07 14 05 26 00 2 5657.746
2019 07 14 05 25 00 2 5657.750
2019 07 14 05 24 00 2 5657.755
2019 07 14 05 23 00 2 5657.759
2019 07 14 05 22 00 2 5657.764
2019 07 14 05 21 00 2 5657.769
2019 07 14 05 20 00 2 5657.774
2019 07 14 05 19 00 2 5657.779
2019 07 14 05 18 00 2 5657.784
2019 07 14 05 17 00 2 5657.789
2019 07 14 05 16 00 2 5657.794
2019 07 14 05 15 00 2 5657.799
2019 07 14 05 15 00 1 9999.000
2019 07 14 05 14 00 2 5657.804
2019 07 14 05 13 00 2 5657.810
2019 07 14 05 12 00 2 5657.815
2019 07 14 05 11 00 2 5657.821
2019 07 14 05 10 00 2 5657.826
2019 07 14 05 09 00 2 5657.831
2019 07 14 05 08 00 2 5657.835
2019 07 14 05 07 00 2 5657.842
2019 07 14 05 06 00 2 5657.847
2019 07 14 05 05 00 2 5657.852
2019 07 14 05 04 00 2 5657.858
2019 07 14 05 03 00 2 5657.863
2019 07 14 05 02 00 2 5657.868
2019 07 14 05 01 00 2 5657.875
2019 07 14 05 00 00 2 5657.881
2019 07 14 05 00 00 1 5657.883
2019 07 14 04 59 00 2 5657.887
2019 07 14 04 58 00 2 5657.892
2019 07 14 04 57 00 2 5657.898
2019 07 14 04 56 00 2 5657.904
2019 07 14 04 55 00 2 5657.911
2019 07 14 04 54 00 2 5657.917
2019 07 14 04 53 00 2 5657.922
2019 07 14 04 52 00 2 5657.928
2019 07 14 04 51 00 2 5657.934
2019 07 14 04 50 00 2 5657.941
2019 07 14 04 49 00 2 5657.946
2019 07 14 04 48 00 2 5657.953
2019 07 14 04 47 00 2 5657.959
2019 07 14 04 46 00 2 5657.965
2019 07 14 04 45 00 2 5657.972
2019 07 14 04 45 00 1 5657.975
2019 07 14 04 44 00 2 5657.978
2019 07 14 04 43 00 2 5657.985
2019 07 14 04 42 00 2 5657.992
2019 07 14 04 41 00 2 5657.997
2019 07 14 04 40 00 2 5658.004
2019 07 14 04 39 00 2 5658.011
2019 07 14 04 38 00 2 5658.017
2019 07 14 04 37 00 2 5658.024
2019 07 14 04 36 00 2 5658.030
2019 07 14 04 35 00 2 5658.038
2019 07 14 04 34 00 2 5658.044
2019 07 14 04 33 00 2 5658.051
2019 07 14 04 32 00 2 5658.058
2019 07 14 04 31 00 2 5658.064
2019 07 14 04 30 00 2 5658.071
2019 07 14 04 30 00 1 5658.074
2019 07 14 04 29 00 2 5658.077
2019 07 14 04 28 00 2 5658.084
2019 07 14 04 27 00 2 5658.092
2019 07 14 04 26 00 2 5658.098
2019 07 14 04 25 00 2 5658.105
2019 07 14 04 24 00 2 5658.112
2019 07 14 04 23 00 2 5658.119
2019 07 14 04 22 00 2 5658.126
2019 07 14 04 21 00 2 5658.133
2019 07 14 04 20 00 2 5658.140
2019 07 14 04 19 00 2 5658.147
2019 07 14 04 18 00 2 5658.154
2019 07 14 04 17 00 2 5658.162
2019 07 14 04 16 00 2 5658.168
2019 07 14 04 15 00 2 5658.175
2019 07 14 04 15 00 1 5658.179
2019 07 14 04 14 00 2 5658.183
2019 07 14 04 13 00 2 5658.190
2019 07 14 04 12 00 2 5658.197
2019 07 14 04 11 00 2 5658.204
2019 07 14 04 10 00 2 5658.212
2019 07 14 04 09 00 2 5658.218
2019 07 14 04 08 00 2 5658.225
2019 07 14 04 07 00 2 5658.233
2019 07 14 04 06 00 2 5658.240
2019 07 14 04 05 00 2 5658.247
2019 07 14 04 04 00 2 5658.256
2019 07 14 04 03 00 2 5658.262
2019 07 14 04 02 00 2 5658.269
2019 07 14 04 01 00 2 5658.279
2019 07 14 04 00 00 2 5658.286
2019 07 14 04 00 00 1 5658.289
2019 07 14 03 45 00 1 5658.401
2019 07 14 03 30 00 1 5658.516
2019 07 14 03 15 00 1 5658.630
2019 07 14 03 00 00 1 5658.743
2019 07 14 02 45 00 1 5658.853
2019 07 14 02 30 00 1 5658.955
2019 07 14 02 15 00 1 5659.056
2019 07 14 02 00 00 1 5659.146
2019 07 14 01 45 00 1 5659.230
2019 07 14 01 30 00 1 5659.301
2019 07 14 01 15 00 1 5659.362
2019 07 14 01 00 00 1 5659.414
2019 07 14 00 45 00 1 5659.454
2019 07 14 00 30 00 1 5659.481
2019 07 14 00 15 00 1 5659.496
2019 07 14 00 00 00 1 5659.496
